id	placeName
dvp_086_place_0	Rauner [Special Collections] Library
dvp_086_place_1	California
dvp_086_place_2	Pittsburgh, Pennsylvania
dvp_086_place_3	Pittsburgh
dvp_086_place_4	[University of] Wisconsin
dvp_086_place_5	Pittsburgh
dvp_086_place_6	Israel
dvp_086_place_7	Poland
dvp_086_place_8	Czechoslovakia
dvp_086_place_9	Germany
dvp_086_place_10	United States
dvp_086_place_11	Canada
dvp_086_place_12	Camp Aliquippa [now Roaring Run Resort]
dvp_086_place_13	Pennsylvania
dvp_086_place_14	Germany
dvp_086_place_15	Mercersburg
dvp_086_place_16	Pittsburgh
dvp_086_place_17	Pennsylvania
dvp_086_place_18	New Hampshire
dvp_086_place_19	South Mass[achusetts Hall
dvp_086_place_20	South Mass
dvp_086_place_21	Thayer [Hall, now Class of 1953 Commons]
dvp_086_place_22	Thayer
dvp_086_place_23	Woodstock [New York]
dvp_086_place_24	Baker Library [Fisher Ames Baker Memorial Library, now Berry-Baker Library]
dvp_086_place_25	Hanover [New Hampshire]
dvp_086_place_26	Lebanon [New Hampshire]
dvp_086_place_27	York, Pennsylvania
dvp_086_place_28	Canada
dvp_086_place_29	New Hampshire
dvp_086_place_30	Vermont
dvp_086_place_31	Pittsburgh
dvp_086_place_32	Kent State [University]
dvp_086_place_33	Lackland Air Force Base
dvp_086_place_34	Texas
dvp_086_place_35	Kent State
dvp_086_place_36	Pittsburgh
dvp_086_place_37	Japan
dvp_086_place_38	Lackland, Texas
dvp_086_place_39	New Hampshire
dvp_086_place_40	Lackland
dvp_086_place_41	Lackland Air Force Base
dvp_086_place_42	San Antonio
dvp_086_place_43	University of Illinois in Champaign-Urbana
dvp_086_place_44	University of Illinois
dvp_086_place_45	Vietnam
dvp_086_place_46	Germany
dvp_086_place_47	San Francisco
dvp_086_place_48	Chanute Air Force Base
dvp_086_place_49	Rantoul, Illinois
dvp_086_place_50	Yokota Air Base
dvp_086_place_51	Japan
dvp_086_place_52	McClellan Air Force Base
dvp_086_place_53	California
dvp_086_place_54	Japan
dvp_086_place_55	Japan
dvp_086_place_56	Japan
dvp_086_place_57	Japan
dvp_086_place_58	United States
dvp_086_place_59	Alaska
dvp_086_place_60	Hawaii
dvp_086_place_61	Pago Pago
dvp_086_place_62	American Samoa
dvp_086_place_63	Tokyo
dvp_086_place_64	Mount Fuji
dvp_086_place_65	Tokyo
dvp_086_place_66	Tokyo
dvp_086_place_67	Imperial Palace
dvp_086_place_68	Sanno [Hotel]
dvp_086_place_69	Sanno
dvp_086_place_70	Vietnam
dvp_086_place_71	Japan
dvp_086_place_72	Japan
dvp_086_place_73	Japan
dvp_086_place_74	Sanno Hotel
dvp_086_place_75	Japan
dvp_086_place_76	Japan
dvp_086_place_77	Japan
dvp_086_place_78	Texas
dvp_086_place_79	Pittsburgh
dvp_086_place_80	McKeesport, Pennsylvania
dvp_086_place_81	Pittsburgh
dvp_086_place_82	McKeesport
dvp_086_place_83	California
dvp_086_place_84	New York City
dvp_086_place_85	California
dvp_086_place_86	Europe
dvp_086_place_87	California
dvp_086_place_88	San Francisco
dvp_086_place_89	Japan
dvp_086_place_90	California
dvp_086_place_91	California
dvp_086_place_92	Aspen [Colorado]
dvp_086_place_93	New York City
dvp_086_place_94	Van Nuys
dvp_086_place_95	Los Angeles
dvp_086_place_96	Niles, Illinois
dvp_086_place_97	Chicago
dvp_086_place_98	Niles, Illinois
dvp_086_place_99	Chicago
dvp_086_place_100	California
dvp_086_place_101	Chicago
dvp_086_place_102	California
dvp_086_place_103	United States
dvp_086_place_104	St. Louis [Missouri]
dvp_086_place_105	San Diego
dvp_086_place_106	Indianapolis [Indiana]
dvp_086_place_107	Japan
dvp_086_place_108	Nam
dvp_086_place_109	Japan
dvp_086_place_110	Yokota Air Base
dvp_086_place_111	Vietnam
dvp_086_place_112	United States
dvp_086_place_113	United States
dvp_086_place_114	Japan
dvp_086_place_115	California
dvp_086_place_116	California
dvp_086_place_117	Mexico
dvp_086_place_118	Cabo San Lucas [Mexico]
dvp_086_place_119	Vietnam
dvp_086_place_120	Japan
dvp_086_place_121	Vietnam
dvp_086_place_122	Japan
dvp_086_place_123	Vietnam
dvp_086_place_124	Japan
dvp_086_place_125	Ghana
dvp_086_place_126	Kenya
dvp_086_place_127	Tanzania
dvp_086_place_128	Ghana
