id	dvp_id	name	end time	point in time	start time
dvp_001_event_0		American Civil War	1865-05-10T00:00:00Z	1861-04-12T00:00:00Z	1861-04-11T00:00:00Z
dvp_001_event_1		World War I	1918-11-11T00:00:00Z		1914-07-28T00:00:00Z
dvp_001_event_2		World War I	1918-11-11T00:00:00Z		1914-07-28T00:00:00Z
dvp_001_event_3		American Civil War	1865-05-10T00:00:00Z	1861-04-12T00:00:00Z	1861-04-11T00:00:00Z
dvp_001_event_4		World War I	1918-11-11T00:00:00Z		1914-07-28T00:00:00Z
dvp_001_event_5		Sputnik 1			
dvp_001_event_6		World War I	1918-11-11T00:00:00Z		1914-07-28T00:00:00Z
dvp_001_event_7		World War II	1945-09-02T00:00:00Z		1939-09-01T00:00:00Z
dvp_001_event_8		Sputnik 1			
dvp_001_event_9		Vietnam War	1975-04-30T00:00:00Z	1955-11-01T00:00:00Z	1965-11-01T00:00:00Z
dvp_001_event_10		Cuban Missile Crisis	1962-10-28T00:00:00Z	1962-01-01T00:00:00Z	1962-10-14T00:00:00Z
dvp_001_event_11		Tet Offensive	1968-09-23T00:00:00Z	1968-09-23T00:00:00Z	1968-01-30T00:00:00Z
dvp_001_event_12		assassination of Martin Luther King Jr.		1968-04-04T00:00:00Z	
dvp_001_event_13		Tet Offensive	1968-09-23T00:00:00Z	1968-09-23T00:00:00Z	1968-01-30T00:00:00Z
dvp_001_event_14		assassination of Martin Luther King Jr.		1968-04-04T00:00:00Z	
dvp_001_event_15		assassination of Robert F. Kennedy		1968-06-05T00:00:00Z	
dvp_001_event_16		assassination of Robert F. Kennedy		1968-06-05T00:00:00Z	
dvp_001_event_17		assassination of Martin Luther King Jr.		1968-04-04T00:00:00Z	
dvp_001_event_18		Woodstock Festival	1969-08-18T00:00:00Z		1969-08-15T00:00:00Z
dvp_001_event_19		Parkhurst Hall Takeover		1969-05-06T00:00:00Z	
dvp_001_event_20		Iraq War	2011-12-15T00:00:00Z		2003-03-20T00:00:00Z
dvp_001_event_21		Iraq War	2011-12-15T00:00:00Z		2003-03-20T00:00:00Z
dvp_001_event_22		Vietnam War	1975-04-30T00:00:00Z	1955-11-01T00:00:00Z	1965-11-01T00:00:00Z
dvp_001_event_23		Vietnam War	1975-04-30T00:00:00Z	1955-11-01T00:00:00Z	1965-11-01T00:00:00Z
dvp_001_event_24		Kent State shootings		1970-05-04T00:00:00Z	
dvp_001_event_25		Cambodia bombing [Cambodian Campaign]			
dvp_001_event_26		Watergate scandal			
dvp_001_event_27		Paris Peace Talks [Paris Peace Accords]			
dvp_001_event_28		Parkhurst Hall Takeover		1969-05-06T00:00:00Z	
dvp_001_event_29		Vietnam War			
dvp_001_event_30		Vietnam			
dvp_001_event_31		the Iraq War			
dvp_001_event_32		Iraq invasion			
